sido,sigungu,dong,adm_cd,corp_cnt,tot_worker,lat,lon
서울특별시,광진구,광장동,11050630,2088,13626,37.547829,127.104704
경기도,성남시 분당구,야탑3동,31023630,2721,13586,37.404657,127.150744
서울특별시,마포구,합정동,11140680,3818,13585,37.546994,126.909125
경기도,양주시,광적면,31260330,3380,13562,37.830087,126.952908
서울특별시,서초구,방배3동,11220640,1874,13552,37.47435,126.997866
경기도,남양주시,오남읍,31130150,4485,13549,37.693824,127.231367
경기도,수원시 권선구,서둔동,31012560,3896,13464,37.26857,126.982148
경기도,고양시 일산동구,식사동,31103510,3695,13457,37.678961,126.816131
경기도,성남시 분당구,금곡동,31023710,3119,13447,37.362865,127.095931
서울특별시,도봉구,방학1동,11100550,2632,13421,37.665937,127.043553
경기도,이천시,중리동,31210520,2639,13421,37.242951,127.459715
서울특별시,은평구,진관동,11120710,2986,13387,37.639675,126.93794
서울특별시,노원구,공릉1동,11110790,3471,13377,37.624146,127.073681
인천광역시,중구,연안동,23010520,3247,13343,37.458396,126.611782
경기도,화성시,화산동,31240570,2733,13341,37.207716,127.005239
경기도,의정부시,자금동,31030600,2328,13329,37.76324,127.086519
서울특별시,종로구,교남동,11010580,552,13326,37.571051,126.963981
인천광역시,연수구,송도2동,23040660,3454,13256,37.400575,126.639897
서울특별시,송파구,송파1동,11240610,2958,13177,37.507178,127.110361
경기도,용인시 처인구,양지면,31191360,2831,13069,37.241958,127.28862
서울특별시,은평구,녹번동,11120510,2590,13044,37.605336,126.934426
인천광역시,남동구,만수6동,23050640,2178,12919,37.441921,126.740045
경기도,김포시,김포본동,31230610,4209,12918,37.63506,126.711108
서울특별시,강서구,화곡6동,11160610,2228,12881,37.551584,126.851238
경기도,하남시,신장2동,31180530,3229,12873,37.54883,127.218201
서울특별시,서대문구,연희동,11130760,3067,12815,37.572312,126.932864
경기도,광주시,경안동,31250540,3889,12792,37.405374,127.252682
경기도,안양시 동안구,범계동,31042650,2702,12732,37.387669,126.95388
서울특별시,노원구,공릉2동,11110560,2337,12694,37.631583,127.094367
서울특별시,마포구,성산2동,11140730,3232,12638,37.568392,126.901912
경기도,시흥시,신천동,31150520,4544,12571,37.438675,126.780184
서울특별시,성동구,마장동,11040540,3584,12537,37.567327,127.040612
경기도,시흥시,은행동,31150540,3867,12513,37.43164,126.808091
경기도,평택시,중앙동,31070510,3228,12508,37.054288,127.060593
서울특별시,중랑구,망우본동,11070730,3748,12471,37.602018,127.107318
경기도,용인시 기흥구,마북동,31192570,1706,12469,37.306651,127.127659
서울특별시,관악구,청룡동,11210800,2578,12444,37.478052,126.946946
경기도,고양시 덕양구,화정1동,31101620,2943,12444,37.641914,126.832952
경기도,평택시,세교동,31070640,2238,12413,37.013076,127.073364
경기도,광주시,도척면,31250340,2732,12407,37.308057,127.315473
경기도,양주시,은현면,31260310,2622,12329,37.869178,127.023895
서울특별시,송파구,가락1동,11240660,3692,12324,37.495183,127.108251
